Title,Location,Price,Time
Iphone 12 Pro 128 GB Non PTA JV,"Saddar, Karachi•","Rs 102,999",7 hours ago
Box Pack Apple Iphone 15 Pro Max 256GB Physical Dual Natural Titanium,"Wapda Town, Lahore•","Rs 379,999",1 day ago
iPhone xs max 64gb,"Shadbagh, Lahore•","Rs 110,000",10 minutes ago
iPhone X's Max Complete Box Pack set,"Islamabad Highway, Islamabad•","Rs 53,000",11 minutes ago
infinx zero 30 4g whit color,"Gojra Road Samundari, Samundri•","Rs 60,500",9 minutes ago
iPhone X PTA Approved 64gb,"PECHS, Karachi•","Rs 62,000",10 minutes ago
Samsung S21 Ultra Dual Sim Official PTA Approved,"Shahdara, Lahore•","Rs 100,000",10 minutes ago
İPhone 6s 64 GB PTA approved,"National Housing Society, Karachi•","Rs 26,000",11 minutes ago
realme 6,"Bahar Colony, Lahore•","Rs 15,000",11 minutes ago
iphone 11 pro pta approved,"Jinnah Park, Rahimyar Khan•","Rs 148,000",11 minutes ago
I Fone 13 pro with box,"Bahria Enclave, Islamabad•","Rs 175,000",11 minutes ago
vivo S1 8/256,"Abbottabad Road, Abbottabad•","Rs 25,000",12 minutes ago
i am salling ny mobile argent sale no call,"Batth Colony 62, Gujranwala•","Rs 10,000",12 minutes ago
Realme C 21Y,"North Nazimabad - Block W, Karachi•","Rs 17,500",12 minutes ago
iPad mini 2 16gb,"Others, Multan•","Rs 14,900",12 minutes ago
Moto edge plus 12/256 Official PTA approved mobile phones,"Model Town, Lahore•","Rs 58,999",2 days ago
Oppo F11 8gb/256gb PTA Approved,"Chandni Chowk, Rawalpindi•","Rs 22,500",2 weeks ago
Xperia 5 mark 2 3850 pta tax,"Liaquat Bazar, Quetta•","Rs 38,500",3 days ago
IPhone 14 pro max 128 GB PTA approved,"Mohafiz Town Phase 1, Lahore•","Rs 369,999",5 hours ago
i phone 12 jv,"Johar Town, Lahore•","Rs 82,000",5 days ago
"*Fajistu Arrows F52*
Snapdragon 765-5g

Singal sim Japan PTA TAX3850","Gulberg 3, Lahore•","Rs 31,999",1 hour ago
GOOGLE PIXEL 3 NON PTA 4 64,"Nazimabad 2, Karachi•","Rs 16,500",12 minutes ago
iphone Xr 64gb,"Neka Pura, Sialkot•","Rs 58,500",12 minutes ago
Realme 6i 4/128 touch change,"Al Fayaz Colony, Faisalabad•","Rs 22,000",13 minutes ago
samsung A51 6/128 PTA,"Asghar Mall Scheme, Rawalpindi•","Rs 37,000",13 minutes ago
I Phone 12 Pro Max For Sale,"Shah Alam Market, Lahore•","Rs 145,000",13 minutes ago
iphone 5s (pta approved),"Gulistan-e-Jauhar Block 1, Karachi•","Rs 6,500",13 minutes ago
iphone jv,"I-10, Islamabad•","Rs 65,000",13 minutes ago
IPHONE 13 PRO MAX 128GB JV,"Bath Island, Karachi•","Rs 165,000",13 minutes ago
Samsung a23,"Nisbat Road, Lahore•","Rs 60,000",13 minutes ago
Iphone 11 128gb,"Abid Town, Karachi•","Rs 80,000",13 minutes ago
Galaxy A32,"Saeedabad, Karachi•","Rs 40,500",13 minutes ago
Nokia C100,"G-8, Islamabad•","Rs 8,000",13 minutes ago
Apple Iphone 14 Promax,"E-11, Islamabad•","Rs 445,000",13 minutes ago
Vivo Y93 full box all accessories 6/128,"Jail Road, Faisalabad•","Rs 16,000",2 weeks ago
"S22 Ultra 12/256 with official book cover, buds pro","Bahria Town Phase 7, Rawalpindi•","Rs 299,999",16 hours ago
One Plus 9 5G ( 12/256 ) Dual sim APPROVED,"Clifton, Karachi•","Rs 75,000",21 hours ago
Lenovo T470s 8gb 256gb ssd,"Gulberg 2, Lahore•","Rs 75,000",3 days ago
vivo y97,"Blue Area, Islamabad•","Rs 27,000",3 days ago
IPHONE 8,"Ichhra, Lahore•","Rs 24,000",4 days ago
11 pro Max 64GB  NON PTA,"Johar Town, Lahore•","Rs 95,000",14 minutes ago
infinix hot 8 4/64,"Model Town Link Road, Lahore•","Rs 16,000",14 minutes ago
Samsung A04  3/32.03491818168,"Gulshan-e-Iqbal Town, Karachi•","Rs 18,500",14 minutes ago
